Date,symbol,price,return_1d,return_3d,return_5d,volatility_20d,momentum_20d,momentum_60d,ma_50,ma_200,trend_50_200,drawdown
2023-04-03,QQQ,314.5700988769531,-0.002430574507875205,0.023759185849964837,0.03688933390952642,0.012781082990916392,0.06874734312239372,0.22580319475079458,295.4856689453125,284.78735290527345,10.69831604003906,-0.19944322035938655
2023-04-04,QQQ,313.5090026855469,-0.003373162914067418,0.010738874807480592,0.03890977943553753,0.012354717318384376,0.0783693534620713,0.18885409541117637,296.08615234375,285.0317642211914,11.054388122558578,-0.20214362879907544
2023-04-05,QQQ,310.4139099121094,-0.009872420718144093,-0.015610743419980477,0.010232990429364985,0.012724079116586243,0.0624174396324233,0.16954650197083332,296.63630920410156,285.24461105346677,11.391698150634795,-0.21002040256822274
2023-04-06,QQQ,312.5068054199219,0.006742273593361547,-0.006559089577799715,0.007507836056070527,0.011793902176796461,0.0884384840507908,0.16754884614709287,297.2408807373047,285.43413482666017,11.806745910644509,-0.2046941439891642
2023-04-10,QQQ,312.3298645019531,-0.0005661986071983094,-0.0037610983209195314,-0.009534839428205766,0.011051597798634656,0.10331666891977997,0.14704394035933022,297.7318402099609,285.6247761535644,12.107064056396496,-0.20514444505713414
2023-04-11,QQQ,310.3254089355469,-0.006417751852204723,-0.00028510634909229005,-0.01349362179228164,0.011321109858959177,0.08816580945627028,0.13355660953556003,298.1254150390625,285.78497711181643,12.340437927246057,-0.2102456307671039
2023-04-12,QQQ,307.5841064453125,-0.00883363853329755,-0.015752293675635798,-0.01889864785215467,0.010779517799671151,0.054325243480655816,0.11586516861893958,298.5816955566406,285.88379669189453,12.697898864746094,-0.21722203539499974
2023-04-13,QQQ,313.6072998046875,0.019582264600677357,0.00409001971288081,0.010287521888056927,0.01141540076189733,0.06936129385394407,0.13541317246179863,299.0730883789063,286.02328262329104,13.049805755615239,-0.2018934701685251
2023-04-14,QQQ,313.0177001953125,-0.0018800570322891064,0.008675703575161675,0.0016348276790456584,0.010099149143087243,0.03993730140544627,0.14820492860047807,299.4290759277344,286.20334396362307,13.225731964111333,-0.20339395596245058
2023-04-17,QQQ,313.282958984375,0.0008474242475648985,0.01852778612303152,0.00305156371755122,0.009979734368459897,0.04576096073874392,0.16057984358214927,299.5784625244141,286.3834619140625,13.195000610351599,-0.20271889268497645
2023-04-18,QQQ,313.3026428222656,6.283086049241327e-05,-0.0009714601114566568,0.009593909493041508,0.009986973606634628,0.04212842551862783,0.12973577436847084,299.8369427490234,286.5808726501465,13.256070098876933,-0.20266879882694944
2023-04-19,QQQ,313.1552734375,-0.0004703738961092663,0.000439506271056489,0.018112662115648215,0.009577206090567168,0.026970522267701913,0.10466323853933668,300.14329345703123,286.76850952148436,13.374783935546873,-0.20304384261053465
2023-04-20,QQQ,310.7676086425781,-0.007624539637198224,-0.008029004673447027,-0.00905492685877507,0.009170199573538254,0.033189449716186425,0.09848336606522401,300.2784747314453,286.92061477661133,13.357859954833998,-0.20912026642165982
2023-04-21,QQQ,311.09185791015625,0.0010433818022232977,-0.007056387690171917,-0.0061525028263723636,0.00885137983234083,0.022147130472972787,0.10207527968766095,300.52825439453125,287.065352935791,13.462901458740248,-0.2082950768998969
2023-04-24,QQQ,310.443359375,-0.0020845885826543675,-0.00865996613351383,-0.009064009158304187,0.008857913109157303,0.016275723940784248,0.0787452901828487,300.8178442382812,287.17666061401366,13.641183624267569,-0.20994545594342273
