Date,symbol,price,return_1d,return_3d,return_5d,volatility_20d,momentum_20d,momentum_60d,ma_50,ma_200,trend_50_200,drawdown,belief_crypto,belief_elections,belief_geopolitics,belief_master_col,belief_mean,b_change,b_momentum_3,b_volatility_3,b_zscore_3
2022-06-02,QQQ,306.5453796386719,0.0273854448872921,0.0170817108684868,0.0793792242839503,0.0265150140709572,-0.0461770753471264,-0.0265387438855091,317.7970556640625,350.69158935546875,-32.89453369140625,-0.2198655760548581,,,,belief_elections,,,,,
2022-06-03,QQQ,298.5693054199219,-0.0260192283052886,-0.0067473233448189,0.0229510305034026,0.0246739659116049,-0.0217250902353984,-0.08481259578299,316.90720031738283,350.42489959716795,-33.51769927978512,-0.2401640717403016,,,,belief_elections,,,,,
2022-06-06,QQQ,299.5638427734375,0.0033310100384125,0.0039868558537845,-0.0060822117708096,0.0245462405335165,-0.006564335282872,-0.0714527064736894,315.8847320556641,350.1546812438965,-34.26994918823243,-0.237633050635722,,,,belief_elections,,,,,
2022-06-07,QQQ,302.1478576660156,0.0086259238386536,-0.0143454191932028,0.005157472400959,0.0228049830010587,0.0428069009833946,-0.0436092344898695,314.919794921875,349.8790692138672,-34.95927429199219,-0.231056931393399,,,,belief_elections,,,,,
2022-06-08,QQQ,299.97332763671875,-0.0071969069914787,0.0047025001944596,0.0053592425096613,0.0227775762859907,0.0228753215110439,-0.0319001810424111,313.8029376220703,349.56586700439453,-35.76292938232422,-0.2365909431399029,,,,belief_elections,,,,,
2022-06-09,QQQ,291.938720703125,-0.0267844044565322,-0.025454080171082,-0.0476492549088943,0.0225796938036537,0.0259045442339354,-0.0864842808417916,312.40291870117187,349.2069535827637,-36.80403488159181,-0.2570384000846236,,,,belief_elections,,,,,
2022-06-10,QQQ,281.6419372558594,-0.0352703588700606,-0.0678671712867904,-0.056694937680399,0.0240301041192834,-0.0079337625157912,-0.1502200589045912,310.8769207763672,348.7944677734375,-37.9175469970703,-0.2832429223403134,,,,belief_elections,,,,,
2022-06-13,QQQ,268.5466003417969,-0.0464964026368202,-0.1047650720899461,-0.1035413424546674,0.0244845108753922,-0.087864984196785,-0.1994235858187809,309.1777471923828,348.32806716918947,-39.15031997680666,-0.3165695480159688,,,,belief_elections,,,,,
2022-06-14,QQQ,269.0341186523437,0.001815395577253,-0.0784568829911163,-0.1095944855259398,0.0244579066502065,-0.0754925633745211,-0.2140570380137526,307.5017803955078,347.8465184020996,-40.3447380065918,-0.3153288513960769,,,,belief_elections,,,,,
2022-06-15,QQQ,275.7523498535156,0.02497166989386,-0.0209116137309953,-0.0807437713680191,0.0243996480925335,-0.0763302400047104,-0.1921848964726442,305.81489135742186,347.37806060791013,-41.56316925048827,-0.2982314694872898,,,,belief_elections,,,,,
